Id,Married,Dependents,Education,SelfEmployed,Income,Loan,Status
LP001136,Yes,0,Not Graduate,Yes,4695,96,Y
LP001137,No,0,Graduate,No,3410,88,Y
LP001138,Yes,1,Graduate,No,5649,44,Y
LP001144,Yes,0,Graduate,No,5821,144,Y
LP001146,Yes,0,Graduate,No,2645,120,N
LP001151,No,0,Graduate,No,4000,144,Y
LP001155,Yes,0,Not Graduate,No,1928,100,Y
LP001157,No,0,Graduate,No,3086,120,Y
LP001164,No,0,Graduate,No,4230,112,N
LP001179,Yes,2,Graduate,No,4616,134,N
LP001186,Yes,1,Graduate,Yes,11500,286,N
LP001194,Yes,2,Graduate,No,2708,97,Y
LP001195,Yes,0,Graduate,No,2132,96,Y
LP001197,Yes,0,Graduate,No,3366,135,N
LP001198,Yes,1,Graduate,No,8080,180,Y
LP001199,Yes,2,Not Graduate,No,3357,144,Y
LP001205,Yes,0,Graduate,No,2500,120,Y
LP001206,Yes,3,Graduate,No,3029,99,Y
LP001207,Yes,0,Not Graduate,Yes,2609,165,N
LP001213,Yes,1,Graduate,No,4945,92,N
LP001222,No,0,Graduate,No,4166,116,N
LP001225,Yes,0,Graduate,No,5726,258,N
LP001228,No,0,Not Graduate,No,3200,126,N
LP001233,Yes,1,Graduate,No,10750,312,Y
LP001238,Yes,3,Not Graduate,Yes,7100,125,Y
LP001241,No,0,Graduate,No,4300,136,N
LP001243,Yes,0,Graduate,No,3208,172,Y
LP001245,Yes,2,Not Graduate,Yes,1875,97,Y
LP001248,No,0,Graduate,No,3500,81,Y
LP001250,Yes,5,Not Graduate,No,4755,95,N
LP001253,Yes,6,Graduate,Yes,5266,187,Y
LP001255,No,0,Graduate,No,3750,113,N
LP001256,No,0,Graduate,No,3750,176,N
LP001259,Yes,1,Graduate,Yes,1000,110,N
LP001263,Yes,4,Graduate,No,3167,180,N
LP001264,Yes,3,Not Graduate,Yes,3333,130,Y
LP001265,No,0,Graduate,No,3846,111,Y
LP001266,Yes,1,Graduate,Yes,2395,41,Y
LP001267,Yes,2,Graduate,No,1378,167,N
LP001273,Yes,0,Graduate,No,6000,265,N
LP001275,Yes,1,Graduate,No,3988,50,Y
LP001279,No,0,Graduate,No,2366,136,Y
LP001280,Yes,2,Not Graduate,No,3333,99,Y
LP001282,Yes,0,Graduate,No,2500,104,Y
LP001289,No,0,Graduate,No,8566,210,Y
LP001310,Yes,0,Graduate,No,5695,175,Y
LP001316,Yes,0,Graduate,No,2958,131,Y
LP001318,Yes,2,Graduate,No,6250,188,Y
LP001319,Yes,2,Not Graduate,No,3273,81,Y
LP001322,No,0,Graduate,No,4133,122,Y
LP001325,No,0,Not Graduate,No,3620,25,Y
LP001326,No,0,Graduate,,6782,120,N
LP001327,Yes,0,Graduate,No,2484,137,Y
LP001333,Yes,0,Graduate,No,1977,50,Y
LP001334,Yes,0,Not Graduate,No,4188,115,Y
LP001343,Yes,0,Graduate,No,1759,131,Y
LP001345,Yes,2,Not Graduate,No,4288,133,Y
LP001349,No,0,Graduate,No,4843,151,Y
LP001350,Yes,4,Graduate,No,13650,42,Y
LP001356,Yes,0,Graduate,No,4652,57,Y
LP001357,,2,Graduate,No,3816,160,Y
LP001367,Yes,1,Graduate,No,3052,100,Y
LP001369,Yes,2,Graduate,No,11417,225,Y
LP001370,No,0,Not Graduate,,7333,120,N
LP001379,Yes,2,Graduate,No,3800,216,N
LP001384,Yes,4,Not Graduate,No,2071,94,Y
LP001385,No,0,Graduate,No,5316,136,Y
LP001387,Yes,0,Graduate,,2929,139,Y
LP001391,Yes,0,Not Graduate,No,3572,152,N
LP001392,No,1,Graduate,Yes,7451,89,Y
LP001398,No,0,Graduate,,5050,118,Y
LP001401,Yes,1,Graduate,No,14583,185,Y
LP001404,Yes,0,Graduate,No,3167,154,Y
LP001405,Yes,1,Graduate,No,2214,85,Y
LP001421,Yes,0,Graduate,No,5568,175,N
LP001422,No,0,Graduate,No,10408,259,Y
LP001426,Yes,2,Graduate,No,5667,180,Y
LP001430,No,0,Graduate,No,4166,44,Y
LP001431,No,0,Graduate,No,2137,137,Y
LP001432,Yes,2,Graduate,No,2957,81,Y
LP001439,Yes,0,Not Graduate,No,4300,194,Y
LP001443,No,0,Graduate,No,3692,93,Y
LP001448,Yes,3,Graduate,No,23803,370,Y
LP001449,No,0,Graduate,No,3865,231,Y
LP001451,Yes,1,Graduate,Yes,10513,160,N
LP001465,Yes,0,Graduate,No,6080,182,N
LP001469,No,0,Graduate,Yes,20166,650,Y
LP001473,No,0,Graduate,No,2014,74,Y
LP001478,No,0,Graduate,No,2718,70,Y
LP001482,Yes,0,Graduate,Yes,3459,25,Y
LP001487,No,0,Graduate,No,4895,102,Y
LP001488,Yes,5,Graduate,No,4000,290,N
LP001489,Yes,0,Graduate,No,4583,84,N
LP001491,Yes,2,Graduate,Yes,3316,88,Y
LP001492,No,0,Graduate,No,14999,242,N
LP001493,Yes,2,Not Graduate,No,4200,129,N
LP001497,Yes,2,Graduate,No,5042,185,N
LP001498,No,0,Graduate,No,5417,168,Y
LP001504,No,0,Graduate,Yes,6950,175,Y
LP001507,Yes,0,Graduate,No,2698,122,Y
LP001508,Yes,2,Graduate,No,11757,187,Y
LP001514,Yes,0,Graduate,No,2330,100,Y
LP001516,Yes,2,Graduate,No,14866,70,Y
LP001518,Yes,1,Graduate,No,1538,30,Y
LP001519,No,0,Graduate,No,10000,225,N
LP001520,Yes,0,Graduate,No,4860,125,Y
LP001528,No,0,Graduate,No,6277,118,N
LP001529,Yes,0,Graduate,Yes,2577,152,Y
LP001531,No,0,Graduate,No,9166,244,N
LP001532,Yes,2,Not Graduate,No,2281,113,N
LP001535,No,0,Graduate,No,3254,50,Y
LP001536,Yes,4,Graduate,No,39999,600,Y
LP001541,Yes,1,Graduate,No,6000,160,Y
LP001543,Yes,1,Graduate,No,9538,187,Y
LP001546,No,0,Graduate,,2980,120,Y
LP001552,Yes,0,Graduate,No,4583,255,Y
LP001560,Yes,0,Not Graduate,No,1863,98,Y
LP001562,Yes,0,Graduate,No,7933,275,N
LP001565,Yes,1,Graduate,No,3089,121,N
LP001570,Yes,2,Graduate,No,4167,158,Y
LP001572,Yes,0,Graduate,No,9323,75,Y
LP001574,Yes,0,Graduate,No,3707,182,Y
LP001577,Yes,0,Graduate,No,4583,112,N
LP001578,Yes,0,Graduate,No,2439,129,Y
LP001579,No,0,Graduate,No,2237,63,N
LP001580,Yes,2,Graduate,No,8000,200,Y
LP001581,Yes,0,Not Graduate,,1820,95,Y
LP001585,Yes,3,Graduate,No,51763,700,Y
LP001586,Yes,3,Not Graduate,No,3522,81,N
LP001594,Yes,0,Graduate,No,5708,187,Y
LP001603,Yes,0,Not Graduate,Yes,4344,87,N
LP001606,Yes,0,Graduate,No,3497,116,Y
LP001608,Yes,2,Graduate,No,2045,101,Y
LP001610,Yes,3,Graduate,No,5516,495,N
LP001616,Yes,1,Graduate,No,3750,116,Y
LP001630,No,0,Not Graduate,No,2333,102,N
LP001633,Yes,1,Graduate,No,6400,180,N
LP001634,No,0,Graduate,No,1916,67,N
LP001636,Yes,0,Graduate,No,4600,73,Y
LP001637,Yes,1,Graduate,No,33846,260,N
LP001639,Yes,0,Graduate,No,3625,108,Y
LP001640,Yes,0,Graduate,Yes,39147,120,Y
LP001641,Yes,1,Graduate,Yes,2178,66,N
LP001643,Yes,0,Graduate,No,2383,58,Y
LP001644,Yes,0,Graduate,Yes,674,168,Y
LP001647,Yes,0,Graduate,No,9328,188,Y
LP001653,No,0,Not Graduate,No,4885,48,Y
LP001656,No,0,Graduate,No,12000,164,N
LP001657,Yes,0,Not Graduate,No,6033,160,N
LP001658,No,0,Graduate,No,3858,76,Y
LP001664,No,0,Graduate,No,4191,120,Y
LP001665,Yes,1,Graduate,No,3125,170,N
LP001666,No,0,Graduate,No,8333,187,Y
LP001669,No,0,Not Graduate,No,1907,120,Y
LP001671,Yes,0,Graduate,No,3416,113,Y
LP001673,No,0,Graduate,Yes,11000,83,N
LP001674,Yes,1,Not Graduate,No,2600,90,Y
LP001677,No,2,Graduate,No,4923,166,Y
LP001682,Yes,3,Not Graduate,No,3992,78,N
LP001688,Yes,1,Not Graduate,No,3500,135,Y
LP001691,Yes,2,Not Graduate,No,3917,124,Y
LP001692,No,0,Not Graduate,No,4408,120,Y
LP001693,No,0,Graduate,No,3244,80,Y
LP001698,No,0,Not Graduate,No,3975,55,Y
LP001699,No,0,Graduate,No,2479,59,Y
LP001702,No,0,Graduate,No,3418,127,N
LP001708,No,0,Graduate,No,10000,214,N
LP001711,Yes,4,Graduate,No,3430,128,N
LP001713,Yes,1,Graduate,Yes,7787,240,Y
LP001715,Yes,4,Not Graduate,Yes,5703,130,Y
LP001716,Yes,0,Graduate,No,3173,137,Y
LP001720,Yes,5,Not Graduate,No,3850,100,Y
LP001722,Yes,0,Graduate,No,150,135,N
LP001726,Yes,0,Graduate,No,3727,131,Y
LP001732,Yes,2,Graduate,,5000,72,N
LP001734,Yes,2,Graduate,No,4283,127,Y
LP001736,Yes,0,Graduate,No,2221,60,N
LP001743,Yes,2,Graduate,No,4009,116,Y
LP001744,No,0,Graduate,No,2971,144,Y
LP001749,Yes,0,Graduate,No,7578,175,Y
LP001750,Yes,0,Graduate,No,6250,128,Y
LP001751,Yes,0,Graduate,No,3250,170,N
LP001754,Yes,1,Not Graduate,Yes,4735,138,N
LP001758,Yes,2,Graduate,No,6250,210,Y
LP001760,,2,Graduate,No,4758,158,Y
LP001761,No,0,Graduate,Yes,6400,200,Y
LP001765,Yes,1,Graduate,No,2491,104,Y
LP001768,Yes,0,Graduate,,3716,42,Y
LP001770,No,0,Not Graduate,No,3189,120,Y
LP001776,No,0,Graduate,No,8333,280,Y
LP001778,Yes,1,Graduate,No,3155,140,Y
LP001784,Yes,1,Graduate,No,5500,170,Y
LP001786,Yes,0,Graduate,,5746,255,N
LP001788,No,0,Graduate,Yes,3463,122,Y
LP001790,No,1,Graduate,No,3812,112,Y
LP001792,Yes,1,Graduate,No,3315,96,Y
LP001798,Yes,2,Graduate,No,5819,120,Y
LP001800,Yes,1,Not Graduate,No,2510,140,N
LP001806,No,0,Graduate,No,2965,155,Y
LP001807,Yes,2,Graduate,Yes,6250,108,Y
LP001811,Yes,0,Not Graduate,No,3406,123,Y
LP001813,No,0,Graduate,Yes,6050,120,N
LP001814,Yes,2,Graduate,No,9703,112,Y
LP001819,Yes,1,Not Graduate,No,6608,137,Y
LP001824,Yes,1,Graduate,No,2882,123,Y
LP001825,Yes,0,Graduate,No,1809,90,Y
LP001835,Yes,0,Not Graduate,No,1668,201,N
LP001836,No,2,Graduate,No,3427,138,N
LP001841,No,0,Not Graduate,Yes,2583,104,Y
LP001843,Yes,1,Not Graduate,No,2661,279,Y
LP001844,No,0,Graduate,Yes,16250,192,N
LP001846,No,4,Graduate,No,3083,255,Y
LP001849,No,0,Not Graduate,No,6045,115,N
LP001854,Yes,4,Graduate,No,5250,94,N
LP001859,Yes,0,Graduate,No,14683,304,N
LP001864,Yes,3,Not Graduate,No,4931,128,N
LP001865,Yes,1,Graduate,No,6083,330,Y
LP001868,No,0,Graduate,No,2060,134,Y
LP001870,No,1,Graduate,No,3481,155,N
LP001871,No,0,Graduate,No,7200,120,Y
LP001872,No,0,Graduate,Yes,5166,128,Y
LP001875,No,0,Graduate,No,4095,151,Y
LP001877,Yes,2,Graduate,No,4708,150,Y
LP001882,Yes,3,Graduate,No,4333,160,Y
LP001883,No,0,Graduate,,3418,135,N
LP001884,No,1,Graduate,No,2876,90,Y
LP001888,No,0,Graduate,No,3237,30,Y
LP001891,Yes,0,Graduate,No,11146,136,Y
LP001892,No,0,Graduate,No,2833,126,Y
LP001894,Yes,0,Graduate,No,2620,150,Y
LP001896,Yes,2,Graduate,No,3900,90,Y
LP001900,Yes,1,Graduate,No,2750,115,Y
LP001903,Yes,0,Graduate,No,3993,207,Y
LP001904,Yes,0,Graduate,No,3103,80,Y
LP001907,Yes,0,Graduate,No,14583,436,Y
LP001908,Yes,0,Not Graduate,No,4100,124,Y
LP001910,No,1,Not Graduate,Yes,4053,158,N
LP001914,Yes,0,Graduate,No,3927,112,Y
LP001915,Yes,2,Graduate,No,2301,78,Y
LP001917,No,0,Graduate,No,1811,54,Y
LP001922,Yes,0,Graduate,No,20667,66,N
LP001924,No,0,Graduate,No,3158,89,Y
LP001925,No,0,Graduate,Yes,2600,99,N
LP001926,Yes,0,Graduate,No,3704,120,Y
LP001931,No,0,Graduate,No,4124,115,Y
LP001935,No,0,Graduate,No,9508,187,Y
LP001936,Yes,0,Graduate,No,3075,139,Y
LP001938,Yes,2,Graduate,No,4400,127,N
LP001940,Yes,2,Graduate,No,3153,134,Y
LP001945,No,,Graduate,No,5417,143,N
LP001947,Yes,0,Graduate,No,2383,172,Y
LP001949,Yes,3,Graduate,,4416,110,Y
LP001953,Yes,1,Graduate,No,6875,200,Y
LP001954,Yes,1,Graduate,No,4666,135,Y
LP001955,No,0,Graduate,No,5000,151,N
LP001963,Yes,1,Graduate,No,2014,113,N
LP001964,Yes,0,Not Graduate,No,1800,93,N
LP001972,Yes,1,Not Graduate,No,2875,105,Y
LP001974,No,0,Graduate,No,5000,132,Y
LP001977,Yes,1,Graduate,No,1625,96,Y
LP001978,No,0,Graduate,No,4000,140,Y
LP001990,No,0,Not Graduate,No,2000,128,N
LP001993,No,0,Graduate,No,3762,135,Y
LP001994,No,0,Graduate,No,2400,104,N
LP001996,No,0,Graduate,No,20233,480,N
LP001998,Yes,2,Not Graduate,No,7667,185,Y
LP002002,No,0,Graduate,No,2917,84,Y
LP002004,No,0,Not Graduate,No,2927,111,Y
LP002006,No,0,Graduate,No,2507,56,Y
LP002008,Yes,2,Graduate,Yes,5746,144,Y
LP002024,Yes,0,Graduate,No,2473,159,N
LP002031,Yes,1,Not Graduate,No,3399,111,Y
LP002035,Yes,2,Graduate,No,3717,120,Y
LP002036,Yes,0,Graduate,No,2058,88,Y
LP002043,No,1,Graduate,No,3541,112,Y
LP002050,Yes,1,Graduate,Yes,10000,155,N
LP002051,Yes,0,Graduate,No,2400,115,Y
LP002053,Yes,4,Graduate,No,4342,124,Y
LP002054,Yes,2,Not Graduate,No,3601,456,Y
LP002055,No,0,Graduate,No,3166,132,Y
LP002065,Yes,5,Graduate,No,15000,300,Y
LP002067,Yes,1,Graduate,Yes,8666,376,N
LP002068,No,0,Graduate,No,4917,130,Y
LP002082,Yes,0,Graduate,Yes,5818,184,Y
LP002086,Yes,0,Graduate,No,4333,110,N
LP002087,No,0,Graduate,No,2500,67,Y
LP002097,No,1,Graduate,No,4384,117,Y
LP002098,No,0,Graduate,No,2935,98,Y
LP002100,No,2,Graduate,No,2833,71,Y
LP002101,Yes,0,Graduate,,63337,490,Y
LP002103,Yes,1,Graduate,Yes,9833,182,Y
LP002106,Yes,1,Graduate,Yes,5503,70,Y
LP002110,Yes,1,Graduate,,5250,160,Y
LP002112,Yes,2,Graduate,Yes,2500,176,Y
LP002113,No,4,Not Graduate,No,1830,51,N
LP002114,No,0,Graduate,No,4160,71,Y
LP002115,Yes,3,Not Graduate,No,2647,173,N
LP002116,No,0,Graduate,No,2378,46,N
LP002119,Yes,1,Not Graduate,No,4554,158,Y
LP002126,Yes,3,Not Graduate,No,3173,74,Y
LP002128,Yes,2,Graduate,,2583,125,Y
LP002129,Yes,0,Graduate,No,2499,160,Y
LP002130,Yes,2,Not Graduate,No,3523,152,N
LP002131,Yes,2,Not Graduate,No,3083,126,Y
LP002137,Yes,0,Graduate,No,6333,259,Y
LP002138,Yes,0,Graduate,No,2625,187,Y
LP002139,Yes,0,Graduate,No,9083,228,Y
LP002140,No,0,Graduate,No,8750,308,N
LP002141,Yes,3,Graduate,No,2666,95,Y
LP002142,Yes,0,Graduate,Yes,5500,105,N
LP002143,Yes,0,Graduate,No,2423,130,Y
LP002144,No,1,Graduate,No,3813,116,Y
LP002149,Yes,2,Graduate,No,8333,165,Y
LP002151,Yes,1,Graduate,No,3875,67,N
LP002158,Yes,0,Not Graduate,No,3000,100,N
LP002160,Yes,4,Graduate,No,5167,200,Y
LP002161,No,1,Graduate,No,4723,81,N
LP002170,Yes,2,Graduate,No,5000,236,Y
LP002175,Yes,0,Graduate,No,4750,130,Y
LP002178,Yes,0,Graduate,No,3013,95,Y
LP002180,No,0,Graduate,Yes,6822,141,Y
LP002181,No,0,Not Graduate,No,6216,133,N
LP002187,No,0,Graduate,No,2500,96,N
LP002188,No,0,Graduate,No,5124,124,N
LP002190,Yes,1,Graduate,No,6325,175,Y
LP002191,Yes,0,Graduate,No,19730,570,N
LP002194,No,0,Graduate,Yes,15759,55,Y
LP002197,Yes,2,Graduate,No,5185,155,Y
LP002201,Yes,2,Graduate,Yes,9323,380,Y
LP002205,No,1,Graduate,No,3062,111,N
LP002209,No,0,Graduate,,2764,110,Y
LP002211,Yes,0,Graduate,No,4817,120,Y
LP002219,Yes,3,Graduate,No,8750,130,Y
LP002223,Yes,0,Graduate,No,4310,130,Y
LP002224,No,0,Graduate,No,3069,71,N
LP002225,Yes,2,Graduate,No,5391,130,Y
LP002226,Yes,0,Graduate,,3333,128,Y
LP002229,No,0,Graduate,No,5941,296,Y
LP002231,No,0,Graduate,No,6000,156,Y
LP002234,No,0,Graduate,Yes,7167,128,Y
LP002236,Yes,2,Graduate,No,4566,100,N
LP002237,No,1,Graduate,,3667,113,Y
LP002239,No,0,Not Graduate,No,2346,132,Y
LP002243,Yes,0,Not Graduate,No,3010,72,N
LP002244,Yes,0,Graduate,No,2333,136,Y
LP002250,Yes,0,Graduate,No,5488,125,Y
LP002255,No,3,Graduate,No,9167,185,Y
LP002262,Yes,4,Graduate,No,9504,275,Y
LP002263,Yes,0,Graduate,No,2583,120,Y
LP002265,Yes,2,Not Graduate,No,1993,113,Y
LP002266,Yes,2,Graduate,No,3100,113,Y
LP002272,Yes,2,Graduate,No,3276,135,Y
LP002277,No,0,Graduate,No,3180,71,N
LP002281,Yes,0,Graduate,No,3033,95,Y
LP002284,No,0,Not Graduate,No,3902,109,Y
LP002287,No,0,Graduate,No,1500,103,N
LP002288,Yes,2,Not Graduate,No,2889,45,N
LP002296,No,0,Not Graduate,No,2755,65,N
LP002297,No,0,Graduate,No,2500,103,Y
LP002300,No,0,Not Graduate,No,1963,53,Y
LP002301,No,0,Graduate,Yes,7441,194,N
LP002305,No,0,Graduate,No,4547,115,Y
LP002308,Yes,0,Not Graduate,No,2167,115,Y
LP002314,No,0,Not Graduate,No,2213,66,Y
LP002315,Yes,1,Graduate,No,8300,152,N
LP002317,Yes,5,Graduate,No,81000,360,N
LP002318,No,1,Not Graduate,Yes,3867,62,N
LP002319,Yes,0,Graduate,,6256,160,Y
LP002328,Yes,0,Not Graduate,No,6096,218,N
LP002332,Yes,0,Not Graduate,No,2253,110,Y
LP002335,Yes,0,Not Graduate,No,2149,178,N
LP002337,No,0,Graduate,No,2995,60,Y
LP002341,No,1,Graduate,No,2600,160,N
LP002342,Yes,2,Graduate,Yes,1600,239,N
LP002345,Yes,0,Graduate,No,1025,112,Y
LP002347,Yes,0,Graduate,No,3246,138,Y
LP002348,Yes,0,Graduate,No,5829,138,Y
LP002357,No,0,Not Graduate,No,2720,80,N
LP002361,Yes,0,Graduate,No,1820,100,Y
LP002362,Yes,1,Graduate,No,7250,110,N
LP002364,Yes,0,Graduate,No,14880,96,Y
LP002366,Yes,0,Graduate,No,2666,121,Y
LP002367,No,1,Not Graduate,No,4606,81,N
LP002368,Yes,2,Graduate,No,5935,133,Y
LP002369,Yes,0,Graduate,No,2920,87,Y
LP002370,No,0,Not Graduate,No,2717,60,Y
LP002377,No,1,Graduate,Yes,8624,150,Y
LP002379,No,0,Graduate,No,6500,105,N
LP002386,No,0,Graduate,,12876,405,Y
LP002387,Yes,0,Graduate,No,2425,143,Y
LP002390,No,0,Graduate,No,3750,100,Y
LP002393,,4,Graduate,No,10047,129,Y
LP002398,No,0,Graduate,No,1926,50,Y
LP002401,Yes,0,Graduate,No,2213,35,Y
LP002403,No,0,Graduate,Yes,10416,187,N
LP002407,Yes,0,Not Graduate,Yes,7142,138,Y
LP002408,No,0,Graduate,No,3660,187,Y
LP002409,Yes,0,Graduate,No,7901,180,Y
LP002418,No,4,Not Graduate,No,4707,148,Y
LP002422,No,1,Graduate,No,37719,152,Y
LP002424,Yes,0,Graduate,No,7333,175,Y
LP002429,Yes,1,Graduate,Yes,3466,130,Y
LP002434,Yes,2,Not Graduate,No,4652,110,Y
LP002435,Yes,0,Graduate,,3539,55,N
LP002443,Yes,2,Graduate,No,3340,150,N
LP002444,No,1,Not Graduate,Yes,2769,190,N
LP002446,Yes,2,Not Graduate,No,2309,125,N
LP002447,Yes,2,Not Graduate,No,1958,60,Y
LP002448,Yes,0,Graduate,No,3948,149,N
LP002449,Yes,0,Graduate,No,2483,90,Y
LP002453,No,0,Graduate,Yes,7085,84,Y
LP002455,Yes,2,Graduate,No,3859,96,Y
LP002459,Yes,0,Graduate,No,4301,118,Y
LP002467,Yes,0,Graduate,No,3708,173,N
LP002472,No,2,Graduate,No,4354,136,Y
LP002473,Yes,0,Graduate,No,8334,160,N
LP002478,Yes,0,Graduate,Yes,2083,160,Y
LP002484,Yes,4,Graduate,No,7740,128,Y
LP002487,Yes,0,Graduate,No,3015,153,Y
LP002489,No,1,Not Graduate,,5191,132,Y
LP002493,No,0,Graduate,No,4166,98,N
LP002494,No,0,Graduate,No,6000,140,Y
LP002500,Yes,5,Not Graduate,No,2947,70,N
LP002501,Yes,0,Graduate,No,16692,110,Y
LP002502,Yes,2,Not Graduate,,210,98,Y
LP002505,Yes,0,Graduate,No,4333,110,N
LP002515,Yes,1,Graduate,Yes,3450,162,Y
LP002517,Yes,1,Not Graduate,No,2653,113,N
LP002519,Yes,5,Graduate,No,4691,100,Y
LP002522,No,0,Graduate,Yes,2500,93,Y
LP002524,No,2,Graduate,No,5532,162,Y
LP002527,Yes,2,Graduate,Yes,16525,150,Y
LP002529,Yes,2,Graduate,No,6700,230,Y
LP002530,Yes,2,Graduate,No,2873,132,N
LP002531,Yes,1,Graduate,Yes,16667,86,Y
LP002533,Yes,2,Graduate,No,2947,155,N
LP002534,No,0,Not Graduate,No,4350,154,Y
LP002536,Yes,4,Not Graduate,No,3095,113,Y
LP002537,Yes,0,Graduate,No,2083,128,Y
LP002541,Yes,0,Graduate,No,10833,234,Y
LP002543,Yes,2,Graduate,No,8333,246,Y
LP002544,Yes,1,Not Graduate,No,1958,131,Y
LP002545,No,2,Graduate,No,3547,80,N
LP002547,Yes,1,Graduate,No,18333,500,N
LP002555,Yes,2,Graduate,Yes,4583,160,Y
LP002556,No,0,Graduate,No,2435,75,N
LP002560,No,0,Not Graduate,No,2699,96,Y
LP002562,Yes,1,Not Graduate,No,5333,186,Y
LP002571,No,0,Not Graduate,No,3691,110,Y
LP002582,No,0,Not Graduate,Yes,17263,225,Y
LP002585,Yes,0,Graduate,No,3597,119,N
LP002586,Yes,1,Graduate,No,3326,105,Y
LP002587,Yes,0,Not Graduate,No,2600,107,Y
LP002588,Yes,0,Graduate,No,4625,111,Y
LP002600,Yes,1,Graduate,Yes,2895,95,Y
LP002602,No,0,Graduate,No,6283,209,N
LP002603,No,0,Graduate,No,645,113,Y
LP002606,No,0,Graduate,No,3159,100,Y
LP002615,Yes,2,Graduate,No,4865,208,Y
LP002618,Yes,1,Not Graduate,No,4050,138,N
LP002619,Yes,0,Not Graduate,No,3814,124,Y
LP002622,Yes,2,Graduate,No,3510,243,Y
LP002624,Yes,0,Graduate,No,20833,480,Y
LP002625,No,0,Graduate,No,3583,96,N
LP002626,Yes,0,Graduate,Yes,2479,188,Y
LP002634,No,1,Graduate,No,13262,40,Y
LP002637,No,0,Not Graduate,No,3598,100,N
LP002640,Yes,1,Graduate,No,6065,250,Y
LP002643,Yes,2,Graduate,No,3283,148,Y
LP002648,Yes,0,Graduate,No,2130,70,N
LP002652,No,0,Graduate,No,5815,311,N
LP002659,Yes,3,Graduate,No,3466,150,Y
LP002670,Yes,2,Graduate,No,2031,113,Y
LP002682,Yes,,Not Graduate,No,3074,123,N
LP002683,No,0,Graduate,No,4683,185,N
LP002684,No,0,Not Graduate,No,3400,95,N
LP002689,Yes,2,Not Graduate,No,2192,45,Y
LP002690,No,0,Graduate,No,2500,55,Y
LP002692,Yes,3,Graduate,Yes,5677,100,Y
LP002693,Yes,2,Graduate,Yes,7948,480,Y
LP002697,No,0,Graduate,No,4680,320,N
LP002699,Yes,2,Graduate,Yes,17500,400,Y
LP002705,Yes,0,Graduate,No,3775,110,Y
LP002706,Yes,1,Not Graduate,No,5285,161,Y
LP002714,No,1,Not Graduate,No,2679,94,Y
LP002716,No,0,Not Graduate,No,6783,130,Y
LP002717,Yes,0,Graduate,No,1025,216,Y
LP002720,Yes,3,Graduate,No,4281,100,Y
LP002723,No,2,Graduate,No,3588,110,N
LP002729,No,1,Graduate,No,11250,196,N
LP002731,No,0,Not Graduate,Yes,18165,125,Y
LP002732,No,0,Not Graduate,,2550,126,Y
LP002734,Yes,0,Graduate,No,6133,324,Y
LP002738,No,2,Graduate,No,3617,107,Y
LP002739,Yes,0,Not Graduate,No,2917,66,N
LP002740,Yes,7,Graduate,No,6417,157,Y
LP002741,Yes,1,Graduate,No,4608,140,Y
LP002743,No,0,Graduate,No,2138,99,N
LP002753,No,1,Graduate,,3652,95,Y
LP002755,Yes,1,Not Graduate,No,2239,128,Y
