Rent,FloorSpace,YearBuilt,Bath,CentralHeating,HotWater,TiledBath,WindowType,KitchenType,LeaseDuration,AgeCategory,FloorSpaceCategory,NetRentPerSqm,Rooms,AddressType,ResidenceType
1015.63,90,1980,0,1,0,0,0,0,12,5,3,11.284778,4,2,2
584.19,44,1971,0,1,0,0,0,0,1,4,1,13.277045,2,2,2
506.65,37,1971,0,1,0,0,0,0,2,4,1,13.693243,1,2,2
447.63,77,1970,0,1,0,0,0,0,2,4,2,5.813377,3,2,2
385.51,77,1970,0,1,0,1,0,0,3,4,2,5.006623,3,2,2
719.96,83,1971,0,1,0,0,0,0,3,4,3,8.674217,4,2,2
665.06,70,1957,0,1,0,0,1,0,0,3,2,9.500857,3,2,2
705.6,50,1957,0,1,0,0,0,0,25,3,1,14.112,2,2,2
669.48,82,1985,0,1,0,0,0,0,5,6,3,8.16439,4,2,2
1386.36,60,1973,0,1,0,0,0,0,3,4,2,23.106,2,2,2
521.92,34,1972,0,1,0,0,0,0,5,4,1,15.350588,1,2,2
756.67,76,1980,0,1,0,0,0,0,13,5,2,9.956184,3,2,2
1061.85,77,1980,0,1,0,0,0,0,13,5,2,13.79026,3,2,2
724.24,77,1979,0,1,0,0,0,0,1,5,2,9.405714,3,2,2
865.48,83,1979,0,1,0,0,0,0,7,5,3,10.42747,3,2,2
541.34,49,1980,0,1,0,1,0,0,14,5,1,11.047755,2,2,2
744.07,84,1971,0,1,0,1,0,0,9,4,3,8.857976,3,2,2
635.12,95,1981,0,1,0,0,0,0,1,5,3,6.685474,4,2,2
571.28,61,1957,0,1,0,1,0,0,35,3,2,9.365246,3,2,1
406.65,57,1893,1,0,1,0,0,0,41,1,2,7.134211,2,2,2
340.21,68,1893,0,0,1,0,1,0,21,1,2,5.003088,3,2,2
921.67,86,1893,0,1,0,1,0,0,4,1,3,10.717093,3,2,2
1285.09,72,1971,0,1,0,1,0,0,1,4,2,17.848472,3,2,2
703.03,55,1957,0,1,0,1,0,1,3,3,2,12.782364,2,2,2
449.8,43,1958,0,1,0,1,0,0,19,3,1,10.460465,2,2,2
382.04,56,1957,0,1,1,0,0,0,35,3,2,6.822143,2,2,2
891.88,56,1971,0,1,1,1,0,0,4,4,2,15.926429,3,2,2
754.96,64,1957,0,0,0,1,0,0,35,3,2,11.79625,3,2,2
1410.71,106,1933,0,1,0,1,0,0,6,2,3,13.308585,4,2,2
228.74,37,1957,0,0,1,0,0,0,12,3,1,6.182162,1,2,2
563.5,51,1893,0,1,0,0,0,0,23,1,2,11.04902,3,2,2
1234.51,85,1893,0,1,0,1,0,1,5,1,3,14.523647,4,2,2
535,44,1935,0,1,0,1,0,0,7,2,1,12.159091,1,2,2
488.11,43,1935,0,0,0,1,0,0,3,2,1,11.351395,2,2,2
473.24,80,1957,0,0,1,0,0,0,14,3,2,5.9155,3,2,1
1094.82,56,1893,0,1,0,1,0,0,3,1,2,19.550357,2,2,2
644.4,35,1850,0,1,0,0,0,0,5,1,1,18.411429,1,2,2
581.33,25,1957,0,1,0,0,0,0,0,3,1,23.2532,1,2,2
699.6,80,1933,0,1,1,0,0,0,4,2,2,8.745,3,2,2
675,35,1971,0,1,0,0,1,0,3,4,1,19.285714,1,2,2
444.2,28,1957,0,1,0,1,0,1,4,3,1,15.864286,1,2,2
478.39,75,1957,0,1,0,0,0,0,24,3,2,6.378533,3,2,2
758.58,67,1966,0,1,0,0,0,0,2,4,2,11.32209,3,2,2
1039.07,61,1987,0,1,0,1,0,0,1,6,2,17.033934,2,2,2
1306.1,154,1933,0,1,0,1,0,0,6,2,3,8.481169,5,2,2
919.52,63,1957,0,1,0,0,0,0,30,3,2,14.595556,2,2,3
286.05,55,1957,0,0,0,0,0,0,19,3,2,5.200909,3,2,2
1215.81,46,1991,0,1,0,1,0,1,2,6,1,26.430652,2,2,2
796.48,42,1893,0,0,0,1,1,0,3,1,1,18.96381,2,2,1
1398.5,70,1957,0,1,0,1,0,0,1,3,2,19.978571,3,2,2
353.58,48,1933,0,1,0,0,0,0,13,2,1,7.36625,2,2,1
907,80,1957,0,1,0,1,0,0,19,3,2,11.3375,3,2,2
680,62,1932,0,1,0,1,0,0,0,2,2,10.967742,3,2,2
668.29,48,1988,0,1,0,1,0,1,3,6,1,13.922708,2,2,2
778.29,60,1980,0,1,0,1,0,1,6,5,2,12.9715,2,2,2
239.31,40,1957,0,1,0,1,0,0,1,3,1,5.98275,1,2,2
338.9,35,1933,0,0,0,1,0,0,0,2,1,9.682857,2,2,2
1521.74,102,1980,0,1,0,1,0,0,13,5,3,14.91902,4,2,2
461.71,40,1920,0,1,0,1,0,0,3,2,1,11.54275,2,2,2
987,68,1957,0,1,0,1,0,0,3,3,2,14.514706,2,2,3
1217.37,62,1971,0,1,0,1,0,0,3,4,2,19.635,2,2,3
426.84,67,1971,0,1,0,1,0,1,0,4,2,6.370746,2,2,3
629.3,62,1957,0,1,0,1,1,0,8,3,2,10.15,3,2,2
694.4,35,1992,1,1,0,0,0,0,0,6,1,19.84,1,2,2
984.53,57,1992,0,1,0,1,0,0,0,6,2,17.272456,2,2,2
1021.04,56,1992,0,1,0,1,0,0,1,6,2,18.232857,2,2,2
1685.52,103,1985,0,1,0,1,0,1,4,6,3,16.364272,3,2,3
1590.44,116,1933,0,1,0,1,0,0,4,2,3,13.71069,5,2,2
500,32,1971,0,1,0,1,0,0,0,4,1,15.625,1,2,3
775.2,72,1971,0,1,0,1,0,0,27,4,2,10.766667,3,2,3
516.35,47,1957,0,1,0,1,0,0,1,3,1,10.98617,1,2,3
1210.81,71,1971,0,1,0,1,0,1,3,4,2,17.053662,3,2,3
1347.35,48,1985,0,1,0,1,0,0,7,6,1,28.069792,2,2,2
1438.5,70,1987,0,1,0,1,0,0,0,6,2,20.55,2,2,3
454.65,62,1933,0,1,0,1,0,0,2,2,2,7.333065,2,2,2
1012,102,1957,0,1,0,1,0,0,23,3,3,9.921569,5,2,3
1261.48,250,1912,0,1,1,1,0,0,23,1,3,5.04592,5,2,3
534.2,100,1907,0,1,0,1,0,1,6,1,3,5.342,3,2,3
823.32,43,1969,0,1,0,1,0,0,3,4,1,19.146977,2,2,3
693.68,74,1933,0,1,0,0,0,0,22,2,2,9.374054,3,2,2
1302.81,82,1933,0,1,0,0,0,0,2,2,3,15.887927,3,2,2
575.21,58,1933,0,0,0,0,0,0,25,2,2,9.917414,3,2,2
1250,78,1971,0,1,0,1,0,0,2,4,2,16.025641,3,2,2
770,42,1971,0,1,0,1,0,0,1,4,1,18.333333,2,2,2
980,97,1957,0,1,0,1,0,0,6,3,3,10.103093,3,2,2
958,97,1957,0,1,0,0,0,0,3,3,3,9.876289,4,2,2
471.99,45,1933,0,1,0,0,0,0,47,2,1,10.488667,2,2,2
498.29,31,1985,0,1,0,1,0,1,5,6,1,16.073871,1,2,3
1228.49,65,1980,0,1,0,1,0,1,1,5,2,18.899846,2,2,3
1753.19,83,1957,0,1,0,1,0,0,0,3,3,21.122771,3,2,3
1025.54,84,1933,0,1,0,1,0,1,2,2,3,12.20881,4,2,3
950,62,1971,0,1,0,1,0,0,7,4,2,15.322581,2,2,3
1650,100,1971,0,1,0,1,0,1,1,4,3,16.5,3,2,3
682.13,38,1979,0,1,0,1,0,0,1,5,1,17.950789,1,2,1
297.4,54,1957,0,1,0,1,0,0,14,3,2,5.507407,2,2,1
508.15,97,1957,0,1,0,1,0,0,24,3,3,5.23866,4,2,1
1203.85,121,1957,0,1,0,0,0,0,33,3,3,9.949174,4,2,3
989.41,121,1957,0,1,0,0,0,0,8,3,3,8.176942,4,2,3
820.56,121,1957,0,1,0,0,0,0,24,3,3,6.781488,4,2,3
565,50,1933,0,1,0,1,0,0,1,2,1,11.3,2,2,1
691,62,1933,0,1,0,1,0,0,38,2,2,11.145161,3,2,1
651.44,62,1971,0,0,1,0,1,0,6,4,2,10.507097,3,2,3
356.74,84,1893,1,0,0,0,0,0,23,1,3,4.246905,3,2,3
340,22,1980,0,1,0,1,0,0,1,5,1,15.454545,1,2,3
555.08,38,1980,0,1,0,1,0,0,0,5,1,14.607368,1,2,3
643.21,87,1957,0,1,0,1,0,0,22,3,3,7.393218,4,2,3
638.6,90,1957,0,1,0,1,0,0,21,3,3,7.095556,4,2,3
982.46,69,1971,0,1,0,1,0,0,7,4,2,14.238551,3,2,2
904.66,69,1971,0,1,0,1,0,0,6,4,2,13.111014,2,2,2
545.7,70,1957,0,1,0,1,0,0,21,3,2,7.795714,3,2,2
1030,71,1971,0,1,0,1,1,0,20,4,2,14.507042,3,2,2
763.97,79,1971,0,1,0,1,1,0,19,4,2,9.670506,3,2,2
480.54,30,1934,0,1,0,0,0,0,1,2,1,16.018,1,2,3
652.96,69,1957,0,1,0,0,0,0,21,3,2,9.463188,3,2,2
602.26,59,1957,0,1,0,0,0,0,10,3,2,10.207797,3,2,2
388.8,28,1957,0,1,0,0,0,0,1,3,1,13.885714,1,2,2
454,43,1957,0,1,0,0,0,0,8,3,1,10.55814,1,2,2
1263.76,72,1957,0,1,0,1,1,0,9,3,2,17.552222,3,2,3
833.45,41,1985,0,1,0,1,0,0,1,6,1,20.328049,2,2,2
1008.96,69,1971,0,1,0,1,0,0,9,4,2,14.622609,2,2,3
1353.8,70,1985,0,1,0,1,0,1,7,6,2,19.34,3,2,2
487.62,70,1956,0,0,0,0,0,0,4,3,2,6.966,3,2,1
663.58,41,1980,0,1,0,1,0,0,6,5,1,16.184878,2,2,2
1016.37,55,1971,0,1,0,1,0,0,2,4,2,18.479455,2,2,2
448.43,65,1933,0,0,0,1,0,0,19,2,2,6.898923,3,2,1
1232,67,1987,0,1,0,1,0,0,1,6,2,18.38806,2,2,2
1025.88,43,1985,0,1,0,1,0,0,7,6,1,23.857674,2,2,2
1424.87,67,1987,0,1,0,1,0,0,1,6,2,21.266716,2,2,2
598.29,37,1970,0,1,0,1,0,0,1,4,1,16.17,1,2,2
629.75,40,1980,0,0,0,1,0,0,1,5,1,15.74375,2,2,1
887.41,64,1971,0,1,0,1,0,0,6,4,2,13.865781,3,2,2
1065.63,38,1971,0,1,0,0,0,1,2,4,1,28.042895,1,2,3
1130.83,85,1971,0,1,0,1,0,0,19,4,3,13.303882,4,2,3
1176.5,84,1971,0,1,0,0,0,0,1,4,3,14.005952,4,2,3
950,92,1971,0,1,0,1,0,0,23,4,3,10.326087,4,2,3
936.45,91,1971,0,1,0,1,0,0,4,4,3,10.290659,4,2,3
500.17,45,1957,0,1,0,1,0,0,39,3,1,11.114889,2,2,3
246.53,71,1957,0,1,0,0,0,0,18,3,2,3.472254,3,2,2
294.23,81,1957,0,1,0,1,0,0,3,3,3,3.632469,3,2,2
1301.99,80,1962,0,1,0,1,0,0,0,3,2,16.274875,4,2,3
515.18,45,1971,0,0,0,1,0,1,9,4,1,11.448444,2,2,2
540.8,72,1971,0,1,0,1,0,0,4,4,2,7.511111,3,2,2
382.12,64,1957,0,0,1,0,0,0,6,3,2,5.970625,3,2,2
636,61,1957,0,1,0,1,0,0,9,3,2,10.42623,2,2,2
536.48,84,1910,0,0,1,0,1,0,1,1,3,6.386667,2,2,2
1132.06,92,1893,0,0,1,0,0,0,3,1,3,12.305,4,2,2
814.13,54,1985,0,1,0,1,0,1,7,6,2,15.076481,2,2,2
633.92,39,1970,0,1,0,0,0,0,3,4,1,16.254359,1,2,2
494.92,80,1933,0,0,1,1,0,0,3,2,2,6.1865,3,2,2
908.46,86,1893,0,0,0,1,0,0,61,1,3,10.563488,3,2,1
936.9,74,1880,0,1,0,1,0,0,1,1,2,12.660811,3,2,2
346.18,68,1880,0,0,0,1,1,0,20,1,2,5.090882,3,2,2
430.31,47,1893,0,0,0,0,0,0,21,1,1,9.155532,2,2,2
1064.8,60,1893,0,1,0,1,0,0,2,1,2,17.746667,2,2,2
1432.6,99,1893,0,1,0,1,0,0,7,1,3,14.470707,4,2,2
549.63,32,1968,0,1,0,1,0,0,2,4,1,17.175938,1,2,2
940,73,1968,0,1,0,0,0,0,35,4,2,12.876712,3,2,2
989.2,46,1971,0,1,0,1,0,0,4,4,1,21.504348,2,2,2
758.37,29,1987,0,1,0,1,0,0,4,6,1,26.15069,1,2,2
993.46,67,1989,0,1,0,1,0,1,4,6,2,14.827761,2,2,2
1241.88,49,1957,0,1,0,1,0,1,1,3,1,25.34449,2,2,3
865.88,30,1957,0,1,0,1,0,0,1,3,1,28.862667,2,2,3
614.17,37,1971,0,1,0,1,0,0,17,4,1,16.599189,1,2,3
442.25,41,1957,0,1,0,0,0,0,28,3,1,10.786585,2,2,2
930,48,1957,0,1,0,1,0,0,0,3,1,19.375,2,2,1
896,109,1893,0,1,0,0,1,0,49,1,3,8.220183,3,2,3
945.88,46,1953,0,1,0,0,0,1,2,3,1,20.562609,3,2,3
1187.09,89,1971,0,1,0,1,0,0,9,4,3,13.33809,3,2,2
603,35,1933,0,1,0,0,0,0,14,2,1,17.228571,1,2,2
206.76,54,1893,0,0,0,0,0,0,6,1,2,3.828889,3,2,2
1036.58,72,1971,0,1,0,1,0,0,5,4,2,14.396944,3,2,2
1048.29,68,1971,0,1,0,0,0,1,14,4,2,15.416029,3,2,2
251.3,57,1971,0,1,0,0,0,0,1,4,2,4.408772,2,2,2
400.57,57,1971,0,1,0,0,0,0,25,4,2,7.027544,2,2,2
722.6,78,1957,0,1,0,0,0,0,4,3,2,9.264103,3,2,2
258.51,87,1957,0,1,0,0,0,0,22,3,3,2.971379,5,2,2
1436.66,92,1971,0,1,0,1,0,0,0,4,3,15.61587,4,2,2
765.29,53,1971,0,1,0,0,0,0,5,4,2,14.439434,2,2,2
762.84,56,1933,0,1,0,0,0,0,8,2,2,13.622143,2,2,2
675.38,101,1908,0,1,0,0,1,0,20,1,3,6.686931,5,2,2
746.3,68,1957,0,1,0,0,0,0,29,3,2,10.975,2,2,2
1150.98,88,1899,0,0,0,0,1,0,13,1,3,13.079318,3,2,2
846.64,58,1899,0,0,0,0,1,0,17,1,2,14.597241,2,2,2
606.31,54,1966,0,0,0,0,0,0,2,4,2,11.227963,2,2,2
916.32,45,1980,0,1,0,0,0,0,13,5,1,20.362667,2,2,3
680.95,96,1893,0,0,0,0,0,0,7,1,3,7.093229,3,2,1
792,65,1957,0,1,0,1,0,0,6,3,2,12.184615,3,2,2
559.02,40,1957,0,1,0,0,0,0,6,3,1,13.9755,1,2,2
906.58,64,1957,0,1,0,1,0,0,6,3,2,14.165312,3,2,2
927.15,86,1971,0,1,0,1,0,0,4,4,3,10.780814,4,2,2
358.64,35,1957,0,0,0,1,0,0,8,3,1,10.246857,1,2,2
1400,76,1980,0,1,0,1,0,0,2,5,2,18.421053,2,2,2
649.49,27,1966,0,1,0,0,0,1,3,4,1,24.055185,1,2,1
733.55,39,1971,0,1,0,1,0,0,3,4,1,18.808974,2,2,1
733.92,38,1962,0,1,0,1,0,0,8,3,1,19.313684,1,2,2
740.94,72,1980,0,1,0,1,0,0,13,5,2,10.290833,3,2,2
434.04,43,1933,0,0,0,0,0,0,0,2,1,10.093953,2,2,2
427.31,40,1933,0,0,0,0,0,0,20,2,1,10.68275,2,2,2
374.53,56,1933,0,1,0,1,0,0,3,2,2,6.688036,2,2,2
381.75,56,1957,0,1,0,0,1,0,7,3,2,6.816964,2,2,2
778.77,73,1957,0,1,0,1,1,0,6,3,2,10.668082,3,2,2
640,82,1927,0,1,0,1,0,0,11,2,3,7.804878,3,2,2
1000,73,1927,0,1,0,1,0,0,1,2,2,13.69863,2,2,2
570,79,1933,0,1,0,0,0,0,21,2,2,7.21519,4,2,2
459.63,48,1957,0,0,0,0,0,0,4,3,1,9.575625,2,2,2
509.98,47,1933,0,0,0,1,0,0,3,2,1,10.850638,2,2,2
632.88,69,1957,0,1,0,1,0,0,37,3,2,9.172174,3,2,2
2356.82,98,1989,0,1,0,0,0,1,2,6,3,24.049184,2,2,2
1985.57,87,1989,0,1,0,0,0,1,1,6,3,22.822644,3,2,2
443.32,54,1893,0,0,0,0,0,0,34,1,2,8.20963,2,2,2
373.19,57,1893,0,0,0,0,0,0,64,1,2,6.547193,2,2,2
759.89,105,1893,0,0,0,0,0,0,39,1,3,7.237048,4,2,2
367.8,90,1893,0,0,0,0,0,0,82,1,3,4.086667,3,2,2
942.27,143,1893,0,0,0,1,0,0,18,1,3,6.589301,4,2,2
1073.56,110,1933,0,1,0,0,0,0,14,2,3,9.759636,4,2,2
1308.27,110,1933,0,1,0,1,0,0,3,2,3,11.893364,4,2,2
678.65,65,1957,0,1,0,1,0,0,29,3,2,10.440769,3,2,2
717.58,51,1933,0,1,0,1,0,0,60,2,2,14.070196,2,2,2
548.28,92,1933,0,1,0,1,0,0,21,2,3,5.959565,4,2,2
351.76,69,1938,0,0,0,1,0,0,15,2,2,5.097971,2,2,2
2732.53,145,1933,0,1,0,1,0,0,6,2,3,18.845034,5,2,2
1664.31,108,1959,0,1,0,1,0,1,10,3,3,15.410278,4,2,3
132.11,84,1893,0,0,0,0,0,0,24,1,3,1.572738,3,2,2
762.3,90,1893,0,1,0,1,0,0,8,1,3,8.47,3,2,3
1033.98,100,1933,0,1,0,1,0,0,19,2,3,10.3398,4,2,3
357.47,43,1933,1,0,0,0,0,0,25,2,1,8.313256,1,2,3
375.14,37,1957,0,1,0,1,0,0,29,3,1,10.138919,1,2,3
445.87,45,1957,0,1,0,0,0,0,11,3,1,9.908222,1,2,3
520.22,54,1957,0,1,0,0,0,0,35,3,2,9.633704,2,2,3
280.63,52,1957,0,1,0,1,0,0,6,3,2,5.396731,2,2,3
851.32,84,1957,0,1,0,1,0,0,17,3,3,10.134762,3,2,3
1644.22,71,1985,0,1,0,1,0,0,3,6,2,23.158028,3,2,3
1036.23,140,1893,0,1,1,1,0,0,8,1,3,7.401643,4,2,3
242.06,76,1893,0,1,0,1,0,0,67,1,2,3.185,2,2,3
254.4,57,1957,0,0,0,0,0,0,13,3,2,4.463158,2,2,3
683.44,68,1957,0,0,0,0,0,0,13,3,2,10.050588,2,2,3
737.78,92,1893,0,0,0,1,0,0,53,1,3,8.019348,3,2,3
692.76,68,1893,1,0,1,0,0,0,15,1,2,10.187647,3,2,3
1300,69,1893,0,1,0,1,0,1,2,1,2,18.84058,2,2,3
1681.28,117,1893,0,1,0,0,0,0,3,1,3,14.369915,4,2,3
946.8,80,1893,0,0,1,0,0,0,7,1,2,11.835,3,2,3
1116.06,80,1957,0,0,0,1,0,0,4,3,2,13.95075,3,2,3
454.48,53,1957,0,1,0,0,0,0,22,3,2,8.575094,2,2,3
1254.64,72,1893,0,1,0,0,0,1,0,1,2,17.425556,2,2,3
2603.63,90,1991,0,1,0,1,0,1,2,6,3,28.929222,3,2,3
888.66,47,1893,0,1,0,0,0,0,4,1,1,18.90766,2,2,3
997.84,54,1893,0,1,0,0,0,0,4,1,2,18.478519,2,2,3
349.57,30,1893,1,0,1,0,0,0,7,1,1,11.652333,1,2,3
1156.73,130,1893,0,1,0,1,0,0,22,1,3,8.897923,4,2,3
540,70,1893,0,1,0,1,0,0,10,1,2,7.714286,3,2,3
1307.77,64,1989,0,1,0,1,0,0,3,6,2,20.433906,2,2,3
1294.3,95,1893,0,1,0,0,0,0,4,1,3,13.624211,3,2,3
825.88,72,1957,0,1,0,0,0,0,20,3,2,11.470556,4,2,3
608.76,58,1957,0,1,0,1,0,1,4,3,2,10.495862,2,2,3
695.03,29,1957,0,1,0,0,0,0,0,3,1,23.966552,1,2,3
822.74,59,1933,0,1,0,0,0,0,2,2,2,13.944746,2,2,3
1239.17,61,1957,0,1,0,0,0,0,4,3,2,20.314262,3,2,3
1215.08,94,1957,0,1,0,0,0,0,12,3,3,12.926383,3,2,3
1276.97,120,1957,0,0,0,1,0,0,31,3,3,10.641417,5,2,3
421.53,72,1957,0,1,0,1,0,0,33,3,2,5.854583,3,2,2
1007.66,70,1957,0,1,0,1,0,0,4,3,2,14.395143,3,2,3
1057.76,89,1971,0,1,0,1,0,0,26,4,3,11.884944,4,2,2
1830.7,100,1971,0,1,0,1,0,0,11,4,3,18.307,5,2,2
1503.74,85,1957,0,1,0,1,0,0,6,3,3,17.691059,3,2,2
570.9,30,1971,0,1,0,1,0,0,1,4,1,19.03,1,2,2
845.29,64,1933,0,1,0,1,0,0,10,2,2,13.207656,2,2,3
868.28,69,1957,0,1,0,1,0,0,32,3,2,12.583768,3,2,2
285.14,59,1957,0,0,0,0,0,0,24,3,2,4.832881,2,2,2
272.06,46,1957,0,0,1,0,0,0,1,3,1,5.914348,2,2,2
740.57,50,1957,0,0,0,0,0,0,18,3,1,14.8114,2,2,2
700.31,51,1957,0,0,0,0,0,0,20,3,2,13.731569,2,2,2
543.46,37,1933,1,0,0,0,0,0,1,2,1,14.688108,1,2,2
413.05,76,1893,0,0,0,1,0,0,43,1,2,5.434868,3,2,2
813.83,50,1893,0,1,0,1,0,0,1,1,1,16.2766,2,2,2
1184.54,98,1933,0,1,0,1,0,0,2,2,3,12.087143,5,2,1
661.78,51,1971,0,1,0,0,0,0,5,4,2,12.976078,2,2,2
674.22,68,1971,0,1,0,0,0,0,21,4,2,9.915,3,2,2
594.77,63,1971,0,1,0,0,0,0,6,4,2,9.440794,2,2,2
674.42,72,1971,0,1,0,0,0,0,22,4,2,9.366944,2,2,2
723.5,70,1957,0,1,0,0,0,0,33,3,2,10.335714,3,2,3
637.71,86,1957,0,1,0,0,0,0,6,3,3,7.415233,3,2,3
329.34,34,1957,0,1,0,0,0,0,14,3,1,9.686471,2,2,3
877.43,64,1987,0,1,0,0,0,0,4,6,2,13.709844,2,2,3
950.3,48,1957,0,1,0,0,0,0,2,3,1,19.797917,1,2,1
447.26,28,1957,0,1,0,0,0,0,4,3,1,15.973571,1,2,1
467.81,118,1893,0,0,0,0,0,0,4,1,3,3.964492,4,2,2
437.54,60,1893,0,0,1,0,0,0,53,1,2,7.292333,3,2,1
716,82,1893,0,1,0,1,0,0,1,1,3,8.731707,3,2,1
366.21,35,1893,0,0,0,0,0,0,11,1,1,10.463143,1,2,1
